id,name,group_id,group_name,generation
1,red,1,red-blue,1
2,blue,1,red-blue,1
3,yellow,2,yellow,1
4,gold,3,gold-silver,2
5,silver,3,gold-silver,2
6,crystal,4,crystal,2
7,ruby,5,ruby-sapphire,3
8,sapphire,5,ruby-sapphire,3
9,emerald,6,emerald,3
10,firered,7,firered-leafgreen,3
11,leafgreen,7,firered-leafgreen,3
12,diamond,8,diamond-pearl,4
13,pearl,8,diamond-pearl,4
14,platinum,9,platinum,4
15,heartgold,10,heartgold-soulsilver,4
16,soulsilver,10,heartgold-soulsilver,4
17,black,11,black-white,5
18,white,11,black-white,5
21,black-2,14,black-2-white-2,5
22,white-2,14,black-2-white-2,5
23,x,15,x-y,6
24,y,15,x-y,6
25,omega-ruby,16,omega-ruby-alpha-sapphire,6
26,alpha-sapphire,16,omega-ruby-alpha-sapphire,6
